       Accession     P4     P6     P7    P10     Type
232  SER18-00700   27.0   25.0   46.0   33.0 Complete
233  SER19-00018  349.0  381.0  786.0  415.0 Complete
234  SER19-00019    6.0  251.0  222.0  949.0  Partial
235  SER19-00020   43.0   59.0   79.0   96.0 Complete
236  SER19-00061   82.0   90.0  120.0  135.0 Complete
237  SER19-00062   65.0   78.0  106.0   84.0 Complete
238  SER19-00063   51.0   72.0  126.0   91.0 Complete
239  SER19-00064  121.0  147.0  233.0  163.0 Complete
240  SER19-00125   51.0   61.0  119.0  116.0 Complete
241  SER19-00126   35.0   52.0   82.0   56.0 Complete
242  SER19-00127   63.0   91.0  113.0  118.0 Complete
243  SER19-00128   43.0   43.0   76.0   55.0 Complete
244  SER19-00130  107.0   96.0  150.0  113.0 Complete
245  SER19-00131   57.0   68.0   98.0  105.0 Complete
246  SER19-00132    2.0 1436.0    0.0  866.0  Partial
247  SER19-00347  230.0  340.0  784.0  455.0 Complete
248  SER19-00348  442.0  548.0  890.5  639.0 Complete
249  SER19-00351  186.0    0.0 2124.0    3.0  Partial
250  SER19-00352  373.0  784.0  990.0    8.0  Partial
251  SER19-00356   50.0   72.0   96.0   99.0 Complete
252  SER19-00357  165.0  205.0  579.0  274.0 Complete
253  SER19-00358   51.0   68.0  100.0   92.0 Complete
254  SER19-00359  137.0  259.0  572.0  388.0 Complete
255  SER19-00360  291.0  319.0  636.0  520.0 Complete
256  SER19-00361  266.0  385.0  700.0  462.0 Complete
257  SER19-00362  390.0  374.0  601.0  550.0 Complete
258  SER19-00363   53.0   89.0  113.0   98.0 Complete
259  SER19-00364  217.0  361.0  573.0  395.0 Complete
260  SER19-00365   52.0   52.0  104.0   81.0 Complete
261  SER19-00367   99.0   96.0  184.0  125.0 Complete
262  SER19-00368  148.0  104.0  347.0  317.0 Complete
263  SER19-00369  198.0  207.0  353.0  308.0 Complete
264  SER19-00371   38.0  298.0  824.0  203.0 Complete
265  SER19-00373   36.0   30.0   66.0   44.0 Complete
266  SER19-00374  259.0  324.0  736.0  385.0 Complete
267  SER19-00375  349.0  400.0  945.0  615.0 Complete
268  SER19-00431  153.0  154.0  748.0  228.0 Complete
269  SER19-00433  274.0  315.0  757.0  382.0 Complete
270  SER19-00434  227.0  234.0  804.0  276.0 Complete
271  SER19-00438   24.0   82.0  770.0   65.0 Complete
272  SER19-00439  152.0  133.0  416.0   79.0 Complete
273  SER19-00440  401.0   98.0   38.0  499.0 Complete
274  SER19-00441  778.0 1044.0 1907.0  360.0  Partial
275  SER19-00442  162.0  341.0  639.0   11.0  Partial
276  SER19-00443  485.0  623.0  918.0   13.0  Partial
277  SER19-00448  375.0  580.0  873.0  586.0 Complete
278  SER19-00451  603.0  741.0 1475.0  731.0 Complete
279  SER19-00452  161.0  243.0  703.0  434.0 Complete
280  SER19-00453  121.0  144.0  467.0    2.0  Partial
281  SER19-00454   96.0  153.0  764.0  579.0 Complete
282  SER19-00456   30.0   87.0  100.0   73.0 Complete
283  SER19-00457   51.0   72.0  104.0   90.0 Complete
284  SER19-00458  534.0  618.0 1371.0  615.0 Complete
285  SER19-00882   43.0   73.0  100.0   81.0 Complete
286  SER19-00883  563.0  859.0 1251.0  944.0 Complete
287  SER19-00884  365.0  536.0  687.0  593.0 Complete
288  SER19-00885   51.0  114.0  383.0  321.0 Complete
289  SER19-00888   32.0   57.0  114.0   81.0 Complete
290  SER19-00889   43.0   25.0  126.0   81.0 Complete
291  SER19-00895  212.0 1174.0  663.0  749.0  Partial
292  SER19-00896   67.0  107.0  159.0  117.0 Complete
293  SER19-00897  494.0  681.0 1292.0  664.0 Complete
294  SER19-00898  325.0  410.0  692.0  521.0 Complete
295  SER19-00899  322.0  323.0  870.0  623.0 Complete
296  SER19-00904 1266.0 1135.0 2484.0 1761.0 Complete
297  SER19-00905  679.0  798.0 1782.0 1057.0 Complete
298  SER19-00907   56.0   60.0   75.0   80.0 Complete
299  SER19-00908  944.0  953.0 1969.0 1262.0 Complete
300  SER19-00909   69.0   48.0  115.0   92.0 Complete
301  SER19-00910 1309.0 1165.0 2797.0 1793.0 Complete
302  SER19-00911  771.0  765.0  843.0  858.0 Complete
303  SER19-00915   93.0   83.0  184.0   64.0 Complete
304  SER19-00916   80.0   72.0   86.0   93.0 Complete
305  SER19-00917   42.0   50.0  119.0   66.0 Complete
306  SER19-00919  688.0  758.0 1799.0  833.0 Complete
307  SER19-00922    0.0  595.0   90.0  715.0  Partial
308  SER19-00934  261.0  323.0  769.0  508.0 Complete
309  SER19-01038  224.0  457.0  817.0  522.0 Complete
310  SER19-01040  808.0 1009.0 1654.5 1256.0 Complete
311  SER19-01041   35.0   49.0   84.0   77.0 Complete
312  SER19-01042   44.0   83.0  117.0   59.0 Complete
313  SER19-01043   30.0   44.0   62.0   78.0 Complete
314  SER19-01078   60.0   85.0   75.0   99.0 Complete
315  SER19-01079   50.0   23.0   92.0   94.0 Complete
316  SER19-01143  803.0  845.0 1348.0  935.0 Complete
317  SER19-01176 1003.0 1202.0 2294.0 1647.0 Complete
318  SER19-01230  616.0  826.0 1834.0 1168.0 Complete
319  SER19-01231 1022.0  851.0 2030.0 1418.0 Complete
320  SER20-00007  296.0  355.0  408.0  479.0 Complete
321  SER20-00105  353.0  421.0  651.0  602.0 Complete
322  SER20-00106  161.0  210.0  442.0  194.0 Complete
323  SER20-00107  253.0  388.0  596.0  307.0 Complete
324  SER20-00108  318.0  426.0  616.0  535.0 Complete
325  SER20-00109  334.0  476.0  650.0  600.0 Complete
326  SER20-00171 2331.5 1978.0 4374.0 2301.0 Complete
327  SER20-00172  274.0  314.0  514.0  440.0 Complete
328  SER20-00173  232.0  300.0  471.0  828.0 Complete
329  SER20-00174  385.0  330.0  648.0  445.0 Complete
330  SER20-00175  350.0  401.0  546.0  545.0 Complete
